Geography,Geographic Area Name,Estimate!!Households!!Median income (dollars),Estimate!!Families!!Median income (dollars),Estimate!!Married-couple families!!Median income (dollars),Estimate!!Nonfamily households!!Median income (dollars),"House Hold Less than $50,000","House Hold $50,000 to $99,999","House Hold $100,000 to $149,999","House Hold $150,000 to $199,999","House Hold $200,000 or more","Families Less than $50,000","Families $50,000 to $99,999","Families $100,000 to 149,999","Families $150,000 to $199,999","Families $200,000 or more","Married-couple Families Less than $50,000","Married-couple Families $50,000 to $99,999","Married-couple Families $100,000 to 149,999","Married-couple Families $150,000 to $199,999","Married-couple Families $200,000 or more","Nonfamily households Less than $50,000","Nonfamily households $50,000 to $99,999","Nonfamily households $100,000 to 149,999","Nonfamily households $150,000 to $199,999","Nonfamily households $200,000 or more",Vote Count,Biden_proportion,average_Biden_proportion
1400000US53047940100,"CensusTract9401,OkanoganCounty,Washington",51912,58304,74375,37371,49.0,28.700000000000003,12.2,8.2,1.9,41.2,32.7,17.8,6.6,1.8,24.200000000000003,42.400000000000006,20.8,8.9,3.7,66.69999999999999,19.3,3.3,9.1,1.7,1496,"[0.2686747  0.85074627 0.17220544 0.70526316        nan 0.52083333
 0.64122137 0.6835443  0.70642202 0.95402299 0.671875   0.58870968]",
1400000US53047940200,"CensusTract9402,OkanoganCounty,Washington",40760,41152,57520,28056,57.4,33.1,9.0,0.0,0.6,57.6,32.7,8.9,0.0,0.8,37.8,47.8,12.7,0.0,1.6,73.6,25.1,1.2,0.0,0.0,1497,"[0.73770492        nan 0.37692308 0.85135135 0.6962963  0.61029412
 0.38181818 0.64       0.592      0.46835443 0.56976744]",
1400000US53047970301,"CensusTract9703.01,OkanoganCounty,Washington",44395,53064,58750,26514,55.8,33.8,9.1,0.5,0.8,43.5,39.6,15.0,0.7,1.3,33.3,45.7,18.6,0.8,1.7,76.1,23.9,0.0,0.0,0.0,1677,"[       nan 0.32380952 0.33043478 0.25287356 0.3961039  0.32283465
 0.27419355 0.23602484 0.25       0.31632653 0.27272727 0.31944444]",
1400000US53047970302,"CensusTract9703.02,OkanoganCounty,Washington",42287,49269,55783,26518,60.9,29.8,9.4,0.0,0.0,53.5,33.1,13.5,0.0,0.0,40.6,42.2,17.2,0.0,0.0,71.0,25.3,3.8,0.0,0.0,1678,"[       nan 0.31428571 0.36       0.4375     0.20634921 0.17977528
 0.21495327 0.32673267]",
1400000US53047970303,"CensusTract9703.03,OkanoganCounty,Washington",32566,62917,64199,16059,66.6,30.0,3.3,0.0,0.0,43.2,50.7,6.1,0.0,0.0,37.7,55.3,7.0,0.0,0.0,94.7,5.4,0.0,0.0,0.0,1679,"[0.36363636 0.32867133        nan 0.225      0.40880503 0.35897436
 0.31677019 0.278125   0.25       0.30538922 0.25641026 0.24657534
 0.23577236 0.328125   0.29365079]",
1400000US53047970400,"CensusTract9704,OkanoganCounty,Washington",37817,67946,71479,25000,58.900000000000006,21.7,13.4,5.8,0.2,38.2,31.200000000000003,21.1,9.1,0.3,32.6,31.0,25.4,11.0,0.0,94.6,5.4,0.0,0.0,0.0,1681,"[       nan 0.19354839 0.37190083 0.26315789 0.27777778 0.23737374
 0.26923077 0.36       0.42592593 0.24822695 0.26241135 0.272
 0.25609756 0.15909091]",
1400000US53047970500,"CensusTract9705,OkanoganCounty,Washington",49211,51205,54175,26667,50.6,37.2,9.4,2.5,0.3,46.5,40.3,11.9,1.2,0.1,32.9,51.400000000000006,14.0,1.7,0.0,67.60000000000001,27.700000000000003,0.0,3.9,0.9,1687,"[       nan 0.49033571 0.2516129  0.34090909 0.21641791 0.27972028
 0.27777778 0.19125683 0.20224719 0.37062937 0.29230769 0.34821429]",
1400000US53047970601,"CensusTract9706.01,OkanoganCounty,Washington",50136,51642,59735,26607,49.7,32.1,5.7,3.7,8.8,45.2,34.6,6.0,5.0,9.3,34.9,39.2,7.7,6.4,11.9,68.39999999999999,21.7,4.8,5.1,0.0,1691,"[       nan 0.25       0.18627451 0.28125    0.42657343 0.42708333
 0.34210526 0.30526316 0.26315789 0.35119048 0.448      0.3495935 ]",
1400000US53047970602,"CensusTract9706.02,OkanoganCounty,Washington",49482,50938,76769,17449,51.400000000000006,32.4,13.6,2.7,0.0,49.4,28.6,18.0,4.0,0.0,17.4,45.8,30.1,6.6,0.0,96.20000000000002,0.0,3.9,0.0,0.0,1693,"[0.43333333        nan 0.36871508 0.472      0.40939597 0.46875
 0.41935484 0.46511628 0.45945946 0.48076923 0.51442308 0.28571429]",
1400000US53047970700,"CensusTract9707,OkanoganCounty,Washington",50377,54691,75985,30435,49.6,30.9,15.5,3.1,1.0,43.6,35.3,15.1,4.7,1.5,34.4,36.9,22.3,5.6,0.7,66.7,19.0,14.2,0.0,0.0,1696,"[       nan 0.48863636 0.46354167 0.44660194 0.27956989 0.35869565
 0.37804878 0.41463415 0.2        0.1509434  0.20253165 0.38513514
 0.34375    0.30322581 0.2556391 ]",
1400000US53047970800,"CensusTract9708,OkanoganCounty,Washington",50434,55022,68043,31446,49.5,38.0,9.6,1.7,1.1,43.5,40.5,12.3,2.3,1.5,30.200000000000003,46.8,18.1,3.5,1.4,75.5,22.3,2.2,0.0,0.0,1699,"[0.65477889 0.37878788 0.50833333 0.37931034 0.55882353        nan
 0.72477064 0.32666667 0.63366337 0.53030303 0.28666667 0.6744186
 0.32911392 0.34636872 0.26271186 0.34862385 0.34682081 0.24590164]",
1400000US53047970900,"CensusTract9709,OkanoganCounty,Washington",58904,76250,84779,34315,42.6,34.099999999999994,15.4,4.1,3.7,27.0,39.7,21.4,6.2,5.6,17.799999999999997,44.6,24.5,7.2,5.9,72.0,23.6,4.1,0.0,0.2,1702,"[       nan 0.68108108 0.77647059 0.77678571 0.52272727 0.79470199
 0.75       0.73717949 0.7008547  0.84912281 0.85024155 0.7826087
 0.79695431 0.51304348]",
1400000US53047971000,"CensusTract9710,OkanoganCounty,Washington",57754,64360,71689,33703,44.4,32.5,10.8,4.2,8.2,37.8,38.1,8.8,5.6,9.5,29.3,42.5,10.4,6.6,11.2,68.2,14.6,12.7,0.0,4.5,1705,"[0.42696629        nan 0.6        0.28292683 0.33333333 0.42857143
 0.64864865 0.71264368 0.68115942 0.68181818 0.51136364 0.53076923
 0.74736842 0.63576159 0.41129032 0.36720143 0.5125     0.42236025
 0.49438202 0.43356643 0.56989247 0.64739884 0.37579618]",
1400000US53049950200,"CensusTract9502,PacificCounty,Washington",59012,69912,78083,33750,39.1,39.7,14.5,6.2,0.5,29.6,41.6,21.5,7.4,0.0,21.3,45.400000000000006,23.9,9.4,0.0,60.10000000000001,33.5,4.8,0.0,1.5,1525,"[0.42682927 0.42857143 0.37068966 0.49056604 0.46078431 0.46403712
 0.425      0.472103   0.39250814 0.44604317 0.44680851]",0.4385400591079952
1400000US53049950301,"CensusTract9503.01,PacificCounty,Washington",50026,61964,76364,-,49.9,36.7,8.3,2.0,3.1,33.6,45.4,12.6,3.3,5.1,23.8,50.9,15.2,4.0,6.1,79.2,20.6,0.0,0.0,0.0,1535,"[0.08333333 0.51412429 0.58333333 0.5087108  0.25301205 0.55331412
 0.46422018]",0.4228640163660256
1400000US53049950302,"CensusTract9503.02,PacificCounty,Washington",44167,60536,63594,21696,55.4,20.6,17.6,6.5,0.0,45.900000000000006,22.0,23.5,8.6,0.0,45.9,15.7,26.0,12.5,0.0,83.69999999999999,16.2,0.0,0.0,0.0,1539,[0.42023346 0.56666667 0.45528455],0.4807282275157382
1400000US53049950400,"CensusTract9504,PacificCounty,Washington",57121,72391,90439,29087,44.0,31.6,19.9,3.7,0.8,29.6,37.2,28.1,3.8,1.2,20.9,38.8,34.8,4.7,0.8,72.8,20.5,3.0,3.6,0.0,1544,"[0.36789298 0.36931818 0.48837209 0.33682373 0.26408451 0.41538462
 0.37665782 0.35087719]",0.3711763908128215
1400000US53049950501,"CensusTract9505.01,PacificCounty,Washington",41875,66573,67440,-,55.2,18.6,9.3,11.2,5.7,33.3,32.9,11.4,13.6,8.7,33.9,27.0,14.1,12.9,12.2,83.89999999999999,10.9,5.3,0.0,0.0,1551,[0.65477889 0.37878788 0.50833333 0.56034483 0.51245552],0.5229400886051011
1400000US53049950502,"CensusTract9505.02,PacificCounty,Washington",36250,43438,68750,22279,61.4,28.6,3.4,2.4,4.2,51.7,36.2,2.5,3.5,6.0,41.7,43.4,0.0,5.5,9.3,83.20000000000002,16.8,0.0,0.0,0.0,1553,[0.4        0.58265139],0.4913256955810147
1400000US53049950600,"CensusTract9506,PacificCounty,Washington",36563,62857,66838,22219,59.7,34.2,5.1,1.1,0.0,43.9,51.6,2.3,2.3,0.0,30.700000000000003,61.400000000000006,3.9,3.9,0.0,73.0,19.6,7.5,0.0,0.0,1555,[0.56621481],0.5662148070907195
1400000US53049950701,"CensusTract9507.01,PacificCounty,Washington",45093,55697,56082,20861,57.5,25.2,13.1,1.8,2.5,44.2,34.5,15.1,2.6,3.6,41.3,37.9,14.0,2.8,4.0,86.0,5.0,8.9,0.0,0.0,1562,[0.59382423],0.5938242280285035
1400000US53049950702,"CensusTract9507.02,PacificCounty,Washington",50045,49688,57917,41691,49.8,39.7,4.9,2.1,3.5,50.8,33.7,2.9,4.7,7.9,40.900000000000006,39.6,3.6,5.9,9.9,51.1,42.4,6.5,0.0,0.0,1564,[0.50759878],0.5075987841945289
1400000US53049950801,"CensusTract9508.01,PacificCounty,Washington",51382,78826,79432,25500,46.5,34.599999999999994,15.3,3.7,0.0,21.9,48.8,23.3,6.0,0.0,19.5,50.3,24.0,6.2,0.0,83.8,13.0,3.2,0.0,0.0,1567,[0.5875],0.5875
1400000US53049950802,"CensusTract9508.02,PacificCounty,Washington",63167,80698,80640,16780,47.5,27.0,21.9,0.0,3.7,30.7,36.3,28.1,0.0,4.9,29.6,38.8,26.4,0.0,5.3,96.3,0.0,3.8,0.0,0.0,1569,[0.56852248],0.5685224839400428
